Time,G,Acc
-0.027342,5.905925,57.93712425
-0.027242,3.872738,37.99155978
-0.027142,10.514484,103.147088
-0.027042,10.533847,103.3370391
-0.026942,12.741308,124.9922315
-0.026842,8.423205,82.63164105
-0.026742,13.360946,131.0708803
-0.026642,18.666597,183.1193166
-0.026542,13.419037,131.640753
-0.026442,5.634834,55.27772154
-0.026342,6.990292,68.57476452
-0.026242,17.098138,167.7327338
-0.026142,23.681793,232.3183893
-0.026042,19.7316,193.566996
-0.025942,8.984752,88.14041712
-0.025842,11.792487,115.6842975
-0.025742,27.109166,265.9409185
-0.025642,36.461828,357.6905327
-0.025542,29.045535,284.9366984
-0.025442,11.908669,116.8240429
-0.025342,14.309767,140.3788143
-0.025242,21.009604,206.1042152
-0.025142,17.543503,172.1017644
-0.025042,17.194957,168.6825282
-0.024941,18.318051,179.7000803
-0.024841,19.673509,192.9971233
-0.024741,11.928033,117.0140037
-0.024641,12.663853,124.2323979
-0.024541,27.167257,266.5107912
-0.024441,33.344274,327.1073279
-0.024341,23.410701,229.6589768
-0.024241,-0.271092,-2.65941252
-0.024141,4.589195,45.02000295
-0.024041,26.121618,256.2530726
-0.023941,24.630614,241.6263233
-0.023841,-2.226824,-21.84514344
-0.023741,-17.73714,-174.0013434
-0.023641,0.542183,5.31881523
-0.023541,23.565611,231.1786439
-0.023441,38.030287,373.0771155
-0.023341,16.052499,157.4750152
-0.023241,-21.919697,-215.0322276
-0.023141,-3.311191,-32.48278371
-0.023041,22.46188,220.3510428
-0.022941,28.619534,280.7576285
-0.022841,6.796655,66.67518555
-0.022741,-8.655569,-84.91113189
-0.022641,5.170105,50.71873005
-0.022541,0.426001,4.17906981
-0.022441,-11.986124,-117.5838764
-0.022341,9.372026,91.93957506
-0.022241,27.612622,270.8798218
-0.022141,-5.015196,-49.19907276
-0.022041,-8.771752,-86.05088712
-0.021941,5.751016,56.41746696
-0.021841,-16.401045,-160.8942515
-0.021741,-34.196277,-335.4654774
-0.021641,-9.662481,-94.78893861
-0.02154,10.301483,101.0575482
-0.02144,12.412125,121.7629463
-0.02134,9.217116,90.41990796
-0.02124,-1.762096,-17.28616176
-0.02114,-7.76484,-76.1730804
-0.02104,-5.944653,-58.31704593
-0.02094,16.594682,162.7938304
-0.02084,28.851898,283.0371194
-0.02074,-0.948821,-9.30793401
-0.02064,-4.260012,-41.79071772
-0.02054,18.685961,183.3092774
-0.02044,-1.278004,-12.53721924
-0.02034,-7.280747,-71.42412807
-0.02024,20.138238,197.5561148
-0.02014,45.07867,442.2217527
-0.02004,18.666597,183.1193166
-0.01994,-21.183877,-207.8138334
-0.01984,-11.734396,-115.1144248
-0.01974,-4.899014,-48.05932734
-0.01964,-9.662481,-94.78893861
-0.01954,8.539387,83.77138647
-0.01944,12.044215,118.1537492
-0.01934,5.692925,55.84759425
-0.01924,4.976468,48.81915108
-0.01914,-2.36237,-23.1748497
-0.01904,-4.298739,-42.17062959
-0.01894,-12.295943,-120.6232008
-0.01884,4.782831,46.91957211
-0.01874,11.114758,109.035776
-0.01864,-22.926609,-224.9100343
-0.01854,-27.999896,-274.6789798
-0.01844,-24.959796,-244.8555988
-0.01834,-12.934945,-126.8918105
-0.01824,11.773124,115.4943464
-0.018139,7.493748,73.51366788
-0.018039,-16.788319,-164.6934094
-0.017939,-7.958477,-78.07265937
-0.017839,2.982008,29.25349848
-0.017739,0.116182,1.13974542
-0.017639,-1.084367,-10.63764027
-0.017539,23.313883,228.7091922
-0.017439,12.702581,124.6123196
-0.017339,-22.907245,-224.7200735
-0.017239,-14.774496,-144.9378058
-0.017139,-25.153433,-246.7551777
-0.017039,-14.677677,-143.9880114
-0.016939,5.344378,52.42834818
-0.016839,3.059463,30.01333203
-0.016739,9.39139,92.1295359
-0.016639,6.196381,60.78649761
-0.016539,6.738564,66.10531284
-0.016439,2.88519,28.3037139
-0.016339,15.549043,152.5361118
-0.016239,22.074607,216.5518947
